tx_id,account_id,amount,currency,amount_usd,date,status,is_compliant,scenario_rule,rule_ids,counterparty_id,counterparty_country,tx_type,description,edd_applied
T0001,A0063,28918304.55,KZT,63620.27,2024-06-01,completed,false,AML_THRESHOLD,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_069,FR,card_payment,POS card payment,false
T0177,A0092,7636.16,USD,7636.16,2024-06-01,completed,false,SANCTIONS,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_021,JP,card_payment,POS card payment,false
T0461,A0072,1617.17,USD,1617.17,2024-06-01,completed,true,NORMAL,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_066,PL,wire,Wire transfer,false
T0100,A0044,9656.69,USD,9656.69,2024-06-02,completed,false,STRUCTURING,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS,STRUCTURING",CP_048,AE,transfer,Account transfer,false
T0101,A0044,9740.23,USD,9740.23,2024-06-02,completed,false,STRUCTURING,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS,STRUCTURING",CP_048,AE,wire,Wire transfer,false
T0099,A0044,9181.22,USD,9181.22,2024-06-03,completed,false,STRUCTURING,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS,STRUCTURING",CP_048,AE,card_payment,POS card payment,false
T0102,A0044,9745.37,USD,9745.37,2024-06-03,completed,false,STRUCTURING,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS,STRUCTURING",CP_048,AE,cash_withdrawal,ATM cash withdrawal,false
T0245,A0099,2786.03,USD,2786.03,2024-06-03,completed,true,KYC_VALIDITY,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_064,US,wire,Wire transfer,false
T0285,A0064,16293.05,EUR,17596.49,2024-06-03,completed,false,HIGH_RISK_JURISDICTION,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_047,MM,cash_deposit,Cash deposit at branch,true
T0362,A0009,17643.32,USD,17643.32,2024-06-03,completed,false,DORMANT_ACCOUNT_RULE,"AML_THRESHOLD,DORMANT_ACCOUNT_RULE,HIGH_RISK_JURISDICTION,KYC_VALIDITY,SANCTIONS",CP_022,CA,cash_deposit,Cash deposit at branch,false
